,title,handle,created,product_type,price,sku,available,image
46,HELM Socks - Indigo+Marine,helm-socks-blue-anil,2019-09-18T13:59:04-05:00,Socks,12.50,HB2LG-B,False,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-socks-helm-socks-indigo-marine-12867192520766.jpg?v=1571417731
47,HELM Socks - Navy+Marine,helm-socks-marine-blue,2019-09-18T13:58:03-05:00,Socks,12.50,HB2LG-A,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-socks-helm-socks-navy-marine-12867263463486.jpg?v=1571417851
48,HELM Marled Socks - Grey,helm-marled-socks-anthricite,2019-09-18T13:56:17-05:00,Socks,15.00,HB3LG-C,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-socks-helm-marled-socks-grey-12867134783550.jpg?v=1570026571
49,HELM Marled Socks - Indigo,helm-marled-socks-indigo,2019-09-18T13:54:39-05:00,Socks,15.00,HB3LG-A,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-socks-helm-marled-socks-indigo-12867142746174.jpg?v=1570026691
50,HELM Marled Socks - Red,copy-of-helm-marled-socks-indigo,2019-09-18T13:54:53-05:00,Socks,15.00,HB3LG-B,False,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-socks-helm-marled-socks-granate-12867130654782.jpg?v=1570026513
51,HELM Marled Socks - Charcoal,helm-marled-socks-black,2019-09-18T13:57:00-05:00,Socks,15.00,HB3LG-D,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-socks-helm-marled-socks-charcoal-12867126820926.jpg?v=1570026528
52,Hollis Teak,hollis-teak,2019-05-13T14:18:19-05:00,Boots,350.00,HBB503115E,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-hollis-teak-16569301139518.jpg?v=1604960362
53,Hollis Brown,hollis-brown,2019-05-13T14:10:19-05:00,Boots,350.00,HBB502115E,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-boots-hollis-brown-7019737186366.jpg?v=1565982275
54,Hollis Black,hollis-black,2019-05-13T14:01:52-05:00,Boots,350.00,HBB501115E,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-hollis-black-7019708186686.jpg?v=1565982251
55,Lou Teak,lou-teak,2019-04-10T14:12:27-05:00,Boots,325.00,HBB205115E,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-lou-teak-14079032295486.jpg?v=1580415631
56,Bradley Teak,bradley-teak,2019-04-09T15:15:33-05:00,Shoes,250.00,HBB303115E,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-bradley-teak-14078938447934.jpg?v=1580414311
57,HELM T-Shirt - Natural,helm-t-shirt-natural,2019-05-06T12:15:35-05:00,Shirts,28.00,HELM_3620,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shirts-s-helm-t-shirt-natural-6701522059326.jpg?v=1558036359
58,HELM T-Shirt - Light Gray,helm-t-shirt-gray,2019-05-06T12:14:16-05:00,Shirts,28.00,HELM_3615,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shirts-s-helm-t-shirt-light-gray-6701511770174.jpg?v=1558036378
59,HELM T-Shirt - Black,helm-t-shirt-black,2019-05-06T12:12:56-05:00,Shirts,28.00,HELM_3610,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shirts-s-helm-t-shirt-black-6701479166014.jpg?v=1558036285
